Listing ID,Host ID,Number of Listings Per Host,City,Latitude,Longitude,Listing Type,Price,Minimum Nights,Availability,Number of Reviews
125163,622855,2,New York City,40.68569,-73.93038,Private room,99,2,355,41
127387,23276,1,New York City,40.66862,-73.9926,Entire home/apt,260,30,157,3
128975,256161,5,New York City,40.81333,-73.94453,Entire home/apt,143,1,365,128
132516,85330,3,New York City,40.70925,-73.85262,Entire home/apt,105,3,120,33
132661,651818,2,New York City,40.75505,-73.99187,Private room,54,14,114,74
133025,653405,1,New York City,40.7463,-73.97926,Private room,68,4,257,131
134934,652842,1,New York City,40.71823,-73.95849,Entire home/apt,250,5,20,27
135393,663764,2,New York City,40.651,-73.94886,Private room,50,30,178,290
135465,663879,1,New York City,40.68626,-73.97598,Entire home/apt,170,3,365,99
136493,663384,1,New York City,40.67632,-73.97616,Entire home/apt,250,4,250,19
137121,669695,1,New York City,40.71275,-73.94809,Entire home/apt,100,2,250,104
139624,680818,1,New York City,40.67456,-73.95151,Entire home/apt,73,21,97,76
140133,622866,1,New York City,40.71363,-73.96019,Entire home/apt,255,3,261,172
140973,686147,1,New York City,40.72274,-73.97581,Entire home/apt,225,2,365,78
141154,686768,1,New York City,40.6858,-73.9828,Entire home/apt,120,3,178,263
141335,687361,1,New York City,40.67535,-73.97654,Entire home/apt,900,1,365,35
144087,616825,2,New York City,40.80473,-73.9532,Entire home/apt,259,8,365,20
148259,716064,1,New York City,40.71541,-73.94144,Entire home/apt,235,1,364,78
148825,718349,2,New York City,40.79765,-73.96245,Entire home/apt,151,2,361,216
149777,716306,1,New York City,40.89747,-73.8639,Entire home/apt,114,2,355,248
150804,726333,1,New York City,40.72008,-73.98404,Entire home/apt,300,4,77,27
150883,726634,1,New York City,40.72855,-74.00305,Entire home/apt,100,30,334,26
150989,727084,1,New York City,40.71546,-73.96435,Entire home/apt,155,3,27,17
151199,722320,1,New York City,40.75725,-73.91098,Entire home/apt,129,2,306,457
151478,216191,4,New York City,40.7102,-73.94495,Private room,87,2,173,8
152259,256161,5,New York City,40.81156,-73.94571,Private room,58,3,365,124
